age,tenure_months,monthly_charges,total_charges,churn,gender_Male,region_North,region_South,region_West,contract_type_One year,contract_type_Two year,internet_service_Fiber optic,internet_service_No,phone_service_Yes,multiple_lines_No phone service,multiple_lines_Yes,payment_method_Credit card,payment_method_Electronic check,payment_method_Mailed check
0.6229508196721312,0.5714285714285715,0.45283585075522664,0.31924133222421147,1.0,False,False,False,False,True,False,True,False,True,False,True,False,False,True
0.836065573770492,0.9142857142857143,0.8676602980894268,0.8188407940713254,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True
0.459016393442623,0.5571428571428572,0.07422226668000403,0.1299021550964191,0.0,True,True,False,False,True,False,False,False,True,False,False,False,False,False
0.2295081967213115,0.05714285714285714,0.3633089926978093,0.030456282177649622,0.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False
0.6885245901639345,0.3857142857142857,0.2076622986896069,0.1339051700778476,0.0,True,False,True,False,False,False,False,False,True,False,True,False,False,True
0.11475409836065575,0.5285714285714286,0.4587376212863859,0.29718984325173087,0.0,True,False,False,True,False,False,False,True,True,False,True,False,True,False
0.9836065573770493,0.24285714285714283,0.6342902870861258,0.17928490036243677,1.0,True,False,False,False,True,False,False,True,True,False,False,False,False,True
0.3278688524590164,0.5142857142857143,0.8529558867660298,0.46299607271453647,1.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False
0.6229508196721312,0.3714285714285714,0.023306992097629292,0.06882866551573577,0.0,True,False,True,False,False,True,True,False,True,False,True,False,True,False
0.9344262295081968,0.34285714285714286,0.5681704511353405,0.2253106980959943,0.0,True,False,False,False,False,False,True,False,False,True,False,False,False,False
0.29508196721311475,0.9714285714285714,0.6899069720916273,0.7259135760543266,0.0,True,False,False,True,False,False,False,False,True,False,False,False,False,True
0.3606557377049181,0.3714285714285714,0.13464039211763523,0.10618934982659124,0.0,True,False,False,False,False,True,True,False,False,True,False,False,False,False
0.1639344262295082,0.7571428571428571,0.9376813043913175,0.725363353776359,0.0,True,True,False,False,False,False,True,False,True,False,False,False,False,False
0.1639344262295082,0.0857142857142857,0.08072421726517953,0.025778801178067315,1.0,False,False,False,True,True,False,True,False,False,True,False,False,False,True
0.37704918032786894,0.3714285714285714,0.3200960288086426,0.16632568662415562,1.0,True,False,False,False,True,False,False,False,True,False,True,False,False,False
0.8524590163934428,0.8285714285714286,0.23837151145343605,0.3069885328944177,0.0,True,True,False,False,False,True,True,False,False,True,False,True,False,False
0.5737704918032788,0.42857142857142855,0.06762028608582576,0.09963874653448711,0.0,True,False,True,False,False,False,False,False,True,False,False,False,True,False
0.639344262295082,0.9571428571428572,0.7000100030009002,0.7243516547491282,0.0,False,False,False,True,False,False,True,False,True,False,False,False,False,True
0.37704918032786894,0.04285714285714286,0.5112533760128037,0.03556920790474174,0.0,False,False,False,True,True,False,False,False,True,False,False,True,False,False
0.032786885245901676,0.24285714285714283,0.42702810843252975,0.1363628295861027,1.0,True,False,True,False,False,False,True,False,False,True,False,True,False,False
0.34426229508196726,0.8857142857142858,0.19925977793338,0.2970277347526308,0.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0.8524590163934428,0.7285714285714286,0.4428328498549566,0.39635646357351034,1.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0.016393442622950838,0.8857142857142858,0.9012703811143343,0.8197495482852589,0.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False
0.37704918032786894,0.6285714285714286,0.3551065319595879,0.2930081539391774,0.0,False,False,False,False,False,False,False,True,False,True,False,False,True,False
0.7049180327868853,0.15714285714285714,0.5087526257877362,0.09777509043169376,0.0,True,True,False,False,False,False,False,False,False,True,False,False,True,False
0.47540983606557385,0.09999999999999999,0.9287786335900772,0.10519185008395328,1.0,True,True,False,False,False,False,True,False,True,False,False,False,True,False
0.6065573770491803,0.3,0.6912073622086625,0.22992901540977365,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False
0.016393442622950838,0.5714285714285715,0.04171251375412624,0.11859952456062091,0.0,True,False,True,False,False,False,True,False,True,False,True,True,False,False
0.9672131147540984,0.5714285714285715,0.33229968990697206,0.25800218432327987,0.0,False,False,True,False,True,False,True,False,False,True,False,False,False,True
0.3278688524590164,0.8,0.9764929478843654,0.7936074820763614,0.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False
